CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,ConversionFactor,SwitchCfDate,PreSwitchCf,SubExchange,ExchangeSymbol
3005,RXM,"Rx Medical Service Corp",AMEX,0,1992-03-16,1996-12-03,-4,,,,RXM
3006,ATF,"Equity Income Fund",AMEX,0,1984-09-07,2008-08-21,2,2001-01-29,-4,,ATF
3009,ACU,"Acme United Corp.",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,ACU
3010,ACZ,"Action Ind Inc",AMEX,0,1984-09-07,1997-05-30,-4,,,,ACZ
3012,AE,"Adams Resources & Energy Inc",AMEX,1,1975-02-07,2021-08-03,2,2001-01-29,-4,NYSE Mkt,AE
3016,AHT,"Aircoa Hotel Partners",AMEX,0,1989-10-02,1997-09-29,-4,,,,AHT
3017,AXO,"Alamco Inc",AMEX,0,1989-12-19,1997-08-07,-4,,,,AXO
3018,AWS,"Alba Waldensian Inc",AMEX,0,1984-09-07,1999-12-15,-4,,,,AWS
3019,RPL,"Adrien Arpel Inc",AMEX,0,1984-09-07,1998-12-31,-4,,,,RPL
3020,ALU,"Allou Healthcare",AMEX,0,1989-09-27,2003-07-30,2,2001-01-29,-4,,ALU
3024,CCO,"Coastal Caribbean Oils",AMEX,0,1995-04-18,2003-01-13,2,2001-01-29,-4,,CCO
3025,BKC,"Amer Bank Of Connecticut",AMEX,0,1984-09-07,2002-01-22,2,2001-01-29,-4,,BKC
3026,ABL,"Amer Biltrite Inc",AMEX,0,1984-09-07,2012-01-26,2,2001-01-29,-4,,ABL
3032,AMZ,"Amer List Corp",AMEX,0,1984-09-07,1997-07-14,-4,,,,AMZ
3035,RMC,"Amer Restaurants Partners LP",AMEX,0,1992-03-16,1997-11-17,-4,,,,RMC
3037,AMS,"American Shared Hospital Services",AMEX,1,1984-07-03,2021-08-03,2,2001-01-29,-4,NYSE Mkt,AMS
3038,AMK,"Amer Technical Ceramics Corp",AMEX,0,1985-07-01,2007-10-05,2,2000-09-25,-4,,AMK
3040,AMW,"Amwest Ins Gr Inc",AMEX,0,1985-11-29,2001-06-25,2,2001-01-29,-4,,AMW
3043,ANM,"Angeles Mortgage Inv Tr",AMEX,0,1988-01-05,1998-09-17,-4,,,,ANM
3046,ART,"Armatron Intl Inc",AMEX,0,1992-03-16,1996-02-23,-4,,,,ART
3047,AI,"Arrow Automotive Ind Inc",AMEX,0,1984-09-07,1998-10-22,-4,,,,AI
3048,AIX,"Astrotech Intl Corp",AMEX,0,1988-08-24,1997-10-28,-4,,,,AIX
3050,ACMB,"Atlas Consl Mng & Deve Cl B",AMEX,0,1992-03-16,1995-11-10,-4,,,,ACMB
3052,EXM,"Excel Maritime Carriers Ltd",AMEX,0,1989-02-06,1997-01-03,-4,,,,EXM
3055,AUR,"Aurora Electronics Inc",AMEX,0,1984-09-07,1997-12-12,-4,,,,AUR
3057,BKR,"Baker (Michael) Corp",AMEX,0,1984-09-07,2013-10-11,2,2001-01-29,-4,,BKR
3058,BLD,"Baldwin Technology Co",AMEX,0,1987-01-16,2012-03-20,2,2001-01-29,-4,,BLD
3059,EQUI,"EquiFin",AMEX,0,1992-03-16,2006-11-29,2,2001-01-29,-4,,EQUI
3060,BNC,"BFC Construction Corp",AMEX,0,1984-09-07,2000-01-12,-4,,,,BNC
3061,SFH,"San Francisco Co",AMEX,0,1992-03-16,1995-11-17,-4,,,,SFH
3062,VHT,"Banyan Hotel Inv Fd",AMEX,0,1992-03-16,1996-10-25,-4,,,,VHT
3063,VST,"Banyan Short Term Inc Tr Sbi",AMEX,0,1992-03-16,1996-02-02,-4,,,,VST
3064,BRN,"Barnwell Industries Inc",AMEX,1,1973-02-21,2021-08-03,2,2001-01-29,-4,NYSE Mkt,BRN
3068,CJ,"Bay Meadows Operating Co",AMEX,0,1992-03-16,1997-07-01,-4,,,,CJ
3076,BEM,"Bergstrom Capital Corp",AMEX,0,1984-09-07,2003-04-29,2,2001-01-29,-4,,BEM
3077,BET,"Bethlehem Corp",AMEX,0,1984-09-07,2001-04-18,2,2001-01-29,-4,,BET
3079,SGT,"Sames Corp",AMEX,0,1984-09-07,2001-10-24,2,2001-01-29,-4,,SGT
3081,BPH,"Biopharmaceuticals Inc",AMEX,0,1984-09-07,1995-07-13,-4,,,,BPH
3083,BCO,"Blessings Corp",AMEX,0,1984-09-07,1998-05-20,-4,,,,BCO
3086,BNP,"BNP Residential Properties",AMEX,0,1987-05-20,2007-03-12,2,2001-01-29,-4,,BNP
3088,BWL.A,"Bowl America Inc",AMEX,1,1980-03-18,2021-08-03,2,2001-01-29,-4,NYSE Mkt,BWL.A
3093,ETS,"ETS International Inc",AMEX,0,1992-07-27,1998-03-06,-4,,,,ETS
3094,BFX,"BFX Hospitality Group Inc",AMEX,0,1984-09-07,2000-12-21,-4,,,,BFX
3100,CPP,"Calprop Corp",AMEX,0,1992-03-17,1996-09-27,-4,,,,CPP
3101,BAE,"BAE Systems Canada",AMEX,0,1992-03-17,2001-04-19,2,2001-01-29,-4,,BAE
3106,KML,"Carmel Container Sys Ord",AMEX,0,1992-03-17,2004-11-30,2,2001-01-29,-4,,KML
3111,CVF,"Castle Convertible Fund Inc",AMEX,0,1992-03-17,2009-03-19,2,2001-01-29,-4,,CVF
3113,CAV,"Cavalier Homes Inc",AMEX,0,1986-04-09,2009-09-11,2,2001-01-29,-4,,CAV
3114,CLU,"Celutel Inc",AMEX,0,1992-03-17,1994-10-18,-4,,,,CLU
3118,CET,"Central Securities Corp",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,CET
3120,CDVB,"Chambers Deve Co Inc Class B",AMEX,0,1992-03-17,1995-07-03,-4,,,,CDVB
3121,CDVA,"Chambers Deve Co Inc Class A",AMEX,0,1992-03-17,1995-07-03,-4,,,,CDVA
3125,UFG,"Underwriter Financial Group",AMEX,0,1992-03-17,1995-08-04,-4,,,,UFG
3129,CRV,"Coast Distrib System",AMEX,0,1992-03-17,2015-08-19,2,2001-01-29,-4,NYSE Mkt,CRV
3132,CLR,"CST Entertainment Inc",AMEX,0,1992-03-17,1996-11-14,-4,,,,CLR
3135,CTK,"Comptek Research",AMEX,0,1992-03-17,2000-09-01,-4,,,,CTK
3136,LLB,"Computrac Inc",AMEX,0,1992-03-17,2002-08-05,2,2001-01-29,-4,,LLB
3137,CIS,"Concord Fabrics Inc Cl A",AMEX,0,1992-03-17,1999-09-14,-4,,,,CIS
3139,CUO,"Continental Materials Corp",AMEX,0,1973-02-21,2020-05-19,2,2001-01-29,-4,NYSE Mkt,CUO
3140,CVD,"Conversion Ind Inc",AMEX,0,1992-03-17,1995-04-11,-4,,,,CVD
3141,COV,"Convest Energy Corp",AMEX,0,1992-03-17,1997-10-23,-4,,,,COV
3142,COP,"Copley Prop Inc",AMEX,0,1992-03-17,1996-06-20,-4,,,,COP
3143,COU,"Courtaulds Plc ADR",AMEX,0,1992-03-17,1998-09-25,-4,,,,COU
3145,CNPA,"Crown Central Pet Cl A",AMEX,0,1992-03-17,2001-03-08,2,2001-01-29,-4,,CNPA
3146,CNPB,"Crown Central Pet Cl B",AMEX,0,1992-03-17,2001-03-08,2,2001-01-29,-4,,CNPB
3148,RVR,"Cruise Amer Inc",AMEX,0,1992-03-17,1998-01-28,-4,,,,RVR
3149,COR,"Crystal Gas Storage Inc",AMEX,0,1992-03-17,2000-01-06,-4,,,,COR
3151,CUS,"Customedix Corp",AMEX,0,1992-03-17,1996-09-30,-4,,,,CUS
3152,GW,"Grey Wolf Inc",AMEX,0,1992-03-17,2009-01-02,2,2001-01-29,-4,,GW
3153,IOI,"Integrated Orthopedics",AMEX,0,1992-03-17,2001-02-27,2,2001-01-29,-4,,IOI
3155,DC,"Datametrics Corp",AMEX,0,1992-03-17,2000-06-09,-4,,,,DC
3157,DXR,"Daxor Corp",AMEX,1,1983-07-25,2021-08-03,2,2001-01-29,-4,NYSE Mkt,DXR
3159,DLI,"Del Laboratories Inc",AMEX,0,1992-03-17,2005-02-15,2,2001-01-29,-4,,DLI
3160,DSGT,"Designatronics Inc",AMEX,0,1992-03-17,1995-09-01,-4,,,,DSGT
3161,GRI,"Gristedes Sloan Inc",AMEX,0,1992-03-17,2000-05-08,-4,,,,GRI
3163,DRSA,"Diagnostic Retrieval Sys Cl A",AMEX,0,1992-03-17,1996-04-01,-4,,,,DRSA
3164,DRSB,"Diagnostic Retrieval Sys Cl B",AMEX,0,1992-03-17,1996-04-01,-4,,,,DRSB
3167,DXT,"Dixon Ticonderoga Co",AMEX,0,1992-03-17,2005-02-28,2,2001-01-29,-4,,DXT
3169,DCG,"Dreyfus Cal Muni Income Fund",AMEX,0,1992-03-17,2005-03-16,2,2001-01-29,-4,,DCG
3170,DNM,"Dreyfus NY Muni Income Fund",AMEX,0,1992-03-17,2005-03-24,2,2001-01-29,-4,,DNM
3173,ECI,"ECI Intl Inc",AMEX,0,1992-03-17,1994-12-13,-4,,,,ECI
3175,STS,"Supreme Industries Inc",AMEX,0,1981-04-09,2017-09-28,2,2001-01-29,-4,NYSE Mkt,STS
3176,EZS,"E-Z Serve Corp",AMEX,0,1992-03-17,1998-08-28,-4,,,,EZS
3184,ELB,"Eldorado Bancorp",AMEX,0,1992-03-17,1997-06-06,-4,,,,ELB
3185,EIL,"Electrochemical Ind",AMEX,0,1992-03-17,2002-04-18,2,2001-01-29,-4,,EIL
3186,ELS,"Elsinore Corp",AMEX,0,1992-03-17,1997-04-15,-4,,,,ELS
3187,EMP,"Empire Of Carolina Inc",AMEX,0,1992-03-17,2001-01-26,2,2001-01-29,-4,,EMP
3188,CGA,"Cornerstone Natural Gas Inc",AMEX,0,1992-03-17,1996-06-05,-4,,,,CGA
3192,GEO,"Geotek Communications Inc",AMEX,0,1992-12-24,1995-02-01,-4,,,,GEO
3193,GFY,"PLM Equipment Growth Fund II",AMEX,0,1992-03-17,1996-03-22,-4,,,,GFY
3194,GFZ,"PLM Equipment Growth Fund III",AMEX,0,1992-03-17,1996-03-22,-4,,,,GFZ
3195,ESN,"Escagenetics Corp",AMEX,0,1992-03-17,1995-03-08,-4,,,,ESN
3196,ESP,"Espey Mfg. & Electronics Corp",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,ESP
3197,ESX,"Essex Bancorp Inc",AMEX,0,1992-03-17,2001-08-31,2,2001-01-29,-4,,ESX
3200,XCL,"XCL Ltd",AMEX,0,1992-03-17,2000-01-25,-4,,,,XCL
3202,FFP,"FFP Partners Lp",AMEX,0,1992-03-17,2002-10-03,2,2001-01-29,-4,,FFP
3205,FAL,"Falcon Cable Systems Co",AMEX,0,1992-03-17,1996-07-23,-4,,,,FAL
3207,FBD,"Fibreboard Corp",AMEX,0,1992-03-17,1997-07-03,-4,,,,FBD
3208,SPY,"SPDR S&P 500 ETF",AMEX,1,1993-01-29,2021-08-03,2,2001-01-29,-4,NYSE ARCA,SPY
3209,FI,"Fina Inc Cl A",AMEX,0,1992-03-17,1998-08-05,-4,,,,FI
3210,FCC,"First Central Finan Corp",AMEX,0,1992-03-17,1997-11-05,-4,,,,FCC
3215,BDL,"Flanigan's Enterprises Inc",AMEX,1,1973-02-21,2021-08-03,2,2001-01-29,-4,NYSE Mkt,BDL
3218,FSM,"Foodarama Supermarkets",AMEX,0,1992-03-17,2006-08-03,2,2001-01-29,-4,,FSM
3219,FC,"Ford Motor Co Can",AMEX,0,1992-03-17,1995-09-29,-4,,,,FC
3222,FRL,"Forum Retirement Lp",AMEX,0,1992-03-17,1999-03-08,-4,,,,FRL
3225,FRN,"Fresenius USA Inc",AMEX,0,1992-03-17,1996-09-30,-4,,,,FRN
3226,FRD,"Friedman Industries Inc",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,FRD
3227,FRS,"Frischs Restaurants",AMEX,0,1992-03-17,2015-08-24,2,2001-01-29,-4,NYSE Mkt,FRS
3230,SCB,"Community Bancshares Inc - S Carolina",AMEX,0,1996-11-20,2008-11-12,2,2001-01-29,-4,,SCB
3232,GTV,"Galaxy Cablevision L P",AMEX,0,1992-03-17,1996-06-10,-4,,,,GTV
3233,GCR,"Gaylord Container Corp",AMEX,0,1992-03-17,2002-04-05,2,2001-01-29,-4,,GCR
3234,GSC,"Gelman Sciences Inc",AMEX,0,1992-03-17,1997-02-03,-4,,,,GSC
3235,IIG,"Investors Insurance Group Inc",AMEX,0,1992-03-17,1996-11-22,-4,,,,IIG
3236,GA,"Gen Automation Inc",AMEX,0,1992-03-17,1998-10-15,-4,,,,GA
3237,JOB,"GEE Group Inc",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,JOB
3238,GMW,"Gen Microwave Corp",AMEX,0,1992-03-17,1999-01-06,-4,,,,GMW
3239,GDXA,"Genovese Drug Stores Inc Cl A",AMEX,0,1992-03-17,1999-03-02,-4,,,,GDXA
3240,GIB,"Gibson C R Co",AMEX,0,1992-03-17,1995-11-08,-4,,,,GIB
3242,GLO,"Global Ocean Carriers Ltd",AMEX,0,1992-03-17,2000-02-11,-4,,,,GLO
3243,GV,"Goldfield Corp (The)",AMEX,0,1974-04-09,2020-12-30,2,2001-01-29,-4,NYSE Mkt,GV
3244,SG,"Goldwyn (Samuel) Co",AMEX,0,1992-03-17,1996-07-03,-4,,,,SG
3245,GRC,"The Gorman-Rupp Company",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE,GRC
3246,GHM,"Graham Corp",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE,GHM
3247,GFI,"Graham Field Health Prod",AMEX,0,1992-03-17,1999-07-12,-4,,,,GFI
3249,SZB,"Southfirst Bancshares",AMEX,0,1995-02-14,2006-09-28,2,2001-01-29,-4,,SZB
3252,BUS,"Greyhound Lines Inc",AMEX,0,1991-11-01,1999-03-17,-4,,,,BUS
3254,GB,"Guardian Bancorp",AMEX,0,1992-03-17,1995-02-16,-4,,,,GB
3258,HEP,"Hallwood Energy Partners",AMEX,0,1992-03-17,1999-06-08,-4,,,,HEP
3259,HRY,"Hallwood Rlty Partners L P",AMEX,0,1992-03-17,2004-07-16,2,2001-01-29,-4,,HRY
3261,HAI,"Hampton Ind Inc",AMEX,0,1992-03-17,2002-01-15,2,2001-01-29,-4,,HAI
3264,HRN,"Harlyn Products Inc",AMEX,0,1992-03-17,1997-01-29,-4,,,,HRN
3266,HRA,"Harvey Group",AMEX,0,1992-03-17,1995-06-16,-4,,,,HRA
3269,HCH,"Health Chem Corp",AMEX,0,1992-03-17,1999-05-07,-4,,,,HCH
3271,HPI,"Health Professionals Inc",AMEX,0,1992-03-17,1997-12-31,-4,,,,HPI
3276,HNW,"Hein Werner Corp",AMEX,0,1992-03-17,1998-07-17,-4,,,,HNW
3277,AIH,"Ablest Inc",AMEX,0,1992-03-17,2007-06-20,2,2001-01-29,-4,,AIH
3279,HHH,"Helm Capital Group Inc",AMEX,0,1992-03-17,1998-10-09,-4,,,,HHH
3280,HEM,"Hemlo Gold Mines Inc",AMEX,0,1992-03-17,1996-07-24,-4,,,,HEM
3284,HOLA,"Holco Mtg Accep Corp-i",AMEX,0,1992-03-17,1996-10-25,-4,,,,HOLA
3286,HOG,"Hondo Oil & Gas Co",AMEX,0,1992-03-17,1998-06-30,-4,,,,HOG
3289,HOW,"Howell Ind",AMEX,0,1992-03-17,1997-08-13,-4,,,,HOW
3293,HGC,"Hudson General Corp",AMEX,0,1992-03-17,1999-03-29,-4,,,,HGC
3294,SLC,"Southwestern Life Corp",AMEX,0,1992-03-17,1995-11-15,-4,,,,SLC
3296,IOR,"Income Opportunity Realty Investors Inc",AMEX,1,1986-11-05,2021-08-03,2,2001-01-29,-4,NYSE Mkt,IOR
3298,PLI,"Polyvision",AMEX,0,1992-03-17,2001-12-03,2,2001-01-29,-4,,PLI
3300,ISN,"Instron Corp",AMEX,0,1992-03-17,1999-09-29,-4,,,,ISN
3303,ICP,"Intl Comfort Products",AMEX,0,1992-03-17,1999-09-08,-4,,,,ICP
3305,EQE,"Equisure Inc",AMEX,0,1996-12-03,1997-09-02,-4,,,,EQE
3306,IMV,"Intl Movie Group Inc",AMEX,0,1992-03-17,1995-03-02,-4,,,,IMV
3307,PWR,"Intl Power Machine Corp",AMEX,0,1992-03-17,1995-02-09,-4,,,,PWR
3309,ITB,"Intl Thoroughbred Breeders",AMEX,0,1992-03-17,1997-11-13,-4,,,,ITB
3313,JET,"Jetronic Ind",AMEX,0,1992-03-17,2000-11-21,-4,,,,JET
3316,JPS,"Jones Plumbing Sys Inc",AMEX,0,1992-03-17,1996-02-08,-4,,,,JPS
3317,JOL,"Joule Inc",AMEX,0,1992-03-17,2004-08-13,2,2001-01-29,-4,,JOL
3318,JPI,"Jupiter National Inc",AMEX,0,1992-03-17,1996-03-28,-4,,,,JPI
3325,KWN,"Kenwin Shops Inc",AMEX,0,1992-03-17,1996-12-27,-4,,,,KWN
3327,KTM,"Ketema Inc",AMEX,0,1992-03-17,1994-12-15,-4,,,,KTM
3328,KPI,"Killearn Properties Inc",AMEX,0,1992-03-17,1999-08-10,-4,,,,KPI
3331,KVU,"Kleer Vu Ind",AMEX,0,1992-03-17,1996-12-06,-4,,,,KVU
3332,RMI,"Rotonics Manufacturing Inc",AMEX,0,1992-03-17,2007-02-07,2,2001-01-29,-4,,RMI
3334,LB,"Labarge Inc",AMEX,0,1992-03-17,2011-06-28,2,2001-01-29,-4,,LB
3335,LAN,"Lancer Corp",AMEX,0,1992-03-17,2006-02-23,2,2001-01-29,-4,,LAN
3338,LPF,"Landsing Pacific Fund",AMEX,0,1992-03-17,1995-12-22,-4,,,,LPF
3339,LII,"Larizza Indus Inc",AMEX,0,1992-03-17,1996-01-03,-4,,,,LII
3341,LQ,"Laurentian Capital Corp",AMEX,0,1992-03-17,1995-11-14,-4,,,,LQ
3346,LVC,"Lillian Vernon Corp",AMEX,0,1992-03-17,2003-07-02,2,2001-01-29,-4,,LVC
3349,NAM,"North American Trust Inc",AMEX,0,1992-03-17,1995-10-17,-4,,,,NAM
3351,LFA,"Littlefield Adams & Co",AMEX,0,1992-03-17,1997-09-05,-4,,,,LFA
3352,CFS,"Comforce Corp",AMEX,0,1992-03-17,2011-04-21,2,2001-01-29,-4,,CFS
3355,LGL,"LGL Group Inc (The)",AMEX,1,1980-03-17,2021-08-03,2,2001-01-29,-4,NYSE Mkt,LGL
3356,MCX,"M C Shipping Inc",AMEX,0,1992-03-17,2007-09-21,2,2001-01-29,-4,,MCX
3357,MIP,"MIP Properties Inc",AMEX,0,1992-03-17,1995-10-06,-4,,,,MIP
3361,MAM,"Maine & Maritime",AMEX,0,1992-03-17,2010-12-21,2,2001-01-29,-4,,MAM
3362,MHI,"Marine Harvest International",AMEX,0,1992-03-17,1994-11-30,-4,,,,MHI
3364,DMK,"Dimark Inc",AMEX,0,1992-03-17,1996-04-30,-4,,,,DMK
3369,TCK,"Thermo Ecotek",AMEX,0,1995-02-24,2000-08-11,-4,,,,TCK
3376,MED,"Mediq Inc",AMEX,0,1992-03-17,1998-05-29,-4,,,,MED
3377,MEM,"Mem Co",AMEX,0,1992-03-17,1996-12-05,-4,,,,MEM
3378,MGP,"Merchants Group Inc",AMEX,0,1992-03-17,2007-04-12,2,2001-01-29,-4,,MGP
3380,MPD,"Meridian Point Rlty Tr IV",AMEX,0,1992-03-17,1996-02-23,-4,,,,MPD
3381,MPG,"Meridian Point Rlty Tr VII",AMEX,0,1992-03-17,1996-02-23,-4,,,,MPG
3382,MRM,"Merrimac Ind Inc",AMEX,0,1992-03-17,2010-04-01,2,2001-01-29,-4,,MRM
3385,MBN,"Metrobank N A",AMEX,0,1992-03-17,1996-01-18,-4,,,,MBN
3386,MET,"Metropolitan Realty Corp",AMEX,0,1992-03-17,1996-10-04,-4,,,,MET
3389,DAKMF,"Dakota Mining",AMEX,0,1992-03-17,1998-06-15,-4,,,,DAKMF
3391,MMD,"Moore Medical Corp",AMEX,0,1992-03-17,2004-04-01,2,2001-01-29,-4,,MMD
3392,MR,"Morgans Foods Inc",AMEX,0,1992-03-17,2004-08-24,2,2001-01-29,-4,,MR
3393,MSM,"Motts Super Markets",AMEX,0,1992-03-17,1995-10-12,-4,,,,MSM
3396,XLL,"Exel Plc",AMEX,0,1992-03-17,2000-06-14,-4,,,,XLL
3397,NAN,"Nantucket Ind Inc",AMEX,0,1992-03-17,1998-04-17,-4,,,,NAN
3400,NLG,"Natl Gas & Oil Corp",AMEX,0,1992-03-17,1998-10-23,-4,,,,NLG
3402,NLP,"National Realty LP",AMEX,0,1992-03-17,2000-08-22,-4,,,,NLP
3405,ONYMF,"Oppenheimer NY Muni",AMEX,0,1992-03-17,1999-02-18,-4,,,,ONYMF
3408,NXA,"Siem Indust Inc",AMEX,0,1992-03-17,1998-10-08,-4,,,,NXA
3411,NVX,"N Amer Vaccine Inc",AMEX,0,1992-03-17,2000-06-27,-4,,,,NVX
3412,NCD,"North Cdn Oils Ltd",AMEX,0,1992-03-17,1994-12-09,-4,,,,NCD
3413,NBF,"Northbay Financial Corp",AMEX,0,1992-03-17,1996-04-26,-4,,,,NBF
3415,NMC,"Numac Energy Inc",AMEX,0,1992-03-17,2001-02-14,2,2001-01-29,-4,,NMC
3416,NNM,"Nuveen NY Muni Incm Fd",AMEX,0,1992-03-17,1996-01-09,-4,,,,NNM
3417,OKP,"O Okiep Copper ADR",AMEX,0,1992-03-17,1999-02-19,-4,,,,OKP
3418,OBER,"Obrien Environ Energy Inc Cl A",AMEX,0,1992-03-17,1995-10-26,-4,,,,OBER
3419,OSL,"O'Sullivan Corp",AMEX,0,1992-03-17,1999-08-23,-4,,,,OSL
3420,OAR,"Ohio Art Co",AMEX,0,1992-03-17,2004-08-20,2,2001-01-29,-4,,OAR
3423,OHCA,"Oriole Homes Corp Cl A",AMEX,0,1992-03-17,2003-02-10,2,2001-01-29,-4,,OHCA
3424,OHCB,"Oriole Homes Corp Cl B",AMEX,0,1992-03-17,2003-02-10,2,2001-01-29,-4,,OHCB
3427,PLM,"PLM Intl Inc",AMEX,0,1992-03-17,2002-02-07,2,2001-01-29,-4,,PLM
